movie,task,segment_coarse.rt,segment_fine.rt,order,sub
1.2.3,segment,,"[7.920710344000327, 75.6567165739998, 80.96871075099989, 92.34474923400012, 149.640736415, 162.24074347999976, 236.2567207259999, 279.3927610159999, 337.39278849899983, 447.0487696230002, 577.3367864270003]",coarse_fine,e152034
6.3.9,segment,,"[16.72767719100011, 274.52770918399983, 309.1677012250002, 436.0797345769997, 620.5837626330003, 676.063745462]",coarse_fine,e152034
3.1.3,segment,,"[21.13684683199972, 107.43285931399987, 170.24089646999983, 192.38485443799982, 327.13689685200006, 352.8328982060002, 415.000906022, 464.76115613599995, 577.5209326249997]",coarse_fine,e152034
2.4.1,segment,,"[10.23419492299945, 80.94622422300017, 223.442223817, 332.48225481400004, 358.498250525, 404.2502452230001, 533.1062738129995, 579.2662838870001, 635.930280697, 641.9623089899997]",coarse_fine,e152034
1.2.3,segment,,"[9.112462917997618, 80.71247124300135, 143.90449483999691, 275.4005286149986, 340.0325329190018, 441.39254206400074, 577.4965417409985, 584.8165408280038]",fine_coarse,e152035
6.3.9,segment,,"[16.576829441000882, 63.83285775099648, 204.20885304900003, 278.92085950099863, 419.03286172299704, 527.512882377996, 670.3528993299988, 675.4889117720013]",fine_coarse,e152035
3.1.3,segment,,"[21.21029296999768, 70.84229957899515, 134.44229268599884, 164.51431969799887, 342.6423235829934, 384.32231939899793, 460.45833886399487, 584.1063679679937]",fine_coarse,e152035
2.4.1,segment,,"[10.189799642001162, 86.013802321002, 222.91782539599808, 283.2138437850008, 332.19785574699927, 358.90983908400085, 531.5498684019985, 576.8858618500017, 633.2938917139982, 643.2698978219996]",fine_coarse,e152035
1.2.3,segment,"[153.09506563600007, 343.823113335995, 581.5431438539963]",,fine_coarse,e152035
6.3.9,segment,"[314.00736977299675, 437.75138781900023, 531.647387457997, 673.4314419250004]",,fine_coarse,e152035
3.1.3,segment,"[172.8698392380029, 352.1178736810034, 471.99787270500383, 580.253914961002]",,fine_coarse,e152035
2.4.1,segment,"[221.4337294249999, 402.64173634700273, 532.5537496559991, 581.7457778129974, 642.7457660310029]",,fine_coarse,e152035
1.2.3,segment,"[81.61719798500053, 145.0091959429992, 275.77722774299764, 339.577268953999, 429.9292635649981, 507.8012616199994, 581.025294051, 584.2492831499985]",,coarse_fine,e152036
6.3.9,segment,"[281.89991724500214, 437.2999340189999, 528.9079396520028, 668.8839564980008, 674.0919590370031]",,coarse_fine,e152036
3.1.3,segment,"[69.93714423300116, 170.48115868900277, 185.12113750700155, 342.697129608001, 384.29715621700234, 460.24919292900086, 511.7531749050031, 584.2091984010003]",,coarse_fine,e152036
2.4.1,segment,"[223.52030433599793, 330.20829754900114, 358.2643158239989, 400.96829023600003, 530.6963117859996, 578.7363354400004, 642.464349758]",,coarse_fine,e152036
1.2.3,segment,,"[56.88770266099891, 81.07971465299852, 143.61574286999894, 152.00775291299942, 275.0157405459977, 335.1677774109994, 379.51974454599986, 427.7357758729995, 507.74376398099776, 580.207793237998, 584.4077961599978]",coarse_fine,e152036
6.3.9,segment,,"[17.13318662600068, 274.2531958380023, 281.94919750400004, 423.0452426000011, 525.9172360400007, 620.8772708640026, 668.957275312001]",coarse_fine,e152036
3.1.3,segment,,"[22.216837556003156, 170.54485317500075, 189.11287726500086, 336.832859225, 391.6568701490032, 460.2008702330022, 553.0968848950033, 563.2969008090004, 584.1688629090022]",coarse_fine,e152036
